n_factors,lr,reg,best_val_rmse,best_epoch,elapsed_s
35,0.02,0.12,0.823616,38,37.7
45,0.02,0.12,0.824218,38,38.9
45,0.015,0.12,0.825666,38,39.8
35,0.015,0.1,0.825687,38,39.9
35,0.015,0.12,0.825868,39,40.6
45,0.015,0.1,0.826095,38,41.6
35,0.02,0.1,0.826438,27,31.0
45,0.02,0.1,0.826806,27,30.3
25,0.02,0.12,0.827112,38,42.7
45,0.01,0.1,0.828721,39,41.0
25,0.015,0.12,0.829026,39,42.1
35,0.01,0.1,0.829546,39,42.9
25,0.015,0.1,0.829823,38,40.8
45,0.01,0.12,0.830082,39,40.3
25,0.02,0.1,0.830479,27,32.0
35,0.02,0.08,0.830546,27,31.3
35,0.01,0.12,0.831304,39,39.7
35,0.015,0.08,0.831349,27,32.7
45,0.015,0.08,0.831568,27,31.4
45,0.02,0.08,0.831657,27,31.8
45,0.01,0.08,0.831694,39,41.5
35,0.01,0.08,0.831738,39,61.4
25,0.01,0.1,0.833074,39,40.0
25,0.01,0.12,0.833937,39,41.0
25,0.02,0.08,0.835832,27,32.7
25,0.015,0.08,0.836203,27,31.4
25,0.01,0.08,0.836534,39,41.6
